start_bit,end_bit,entropy_bits_per_bit,p1,entropy_zscore,mi_lag1,mi_lag2,mi_lag3,mi_lag4,mi_lag5,mi_lag6,mi_lag7,mi_lag8,compression_ratio,flagged
268288,276480,0.144963,0.020630,-1.012,0.000053,0.000007,0.000225,0.000007,0.000138,0.000069,0.000007,0.000007,0.237305,1
270336,278528,0.151039,0.021729,-0.999,0.000028,0.000028,0.000275,0.000001,0.000095,0.000099,0.000029,0.000001,0.252930,1
272384,280576,0.150368,0.021606,-1.000,0.000001,0.000030,0.000689,0.000001,0.000001,0.000270,0.000030,0.000018,0.256836,1
274432,282624,0.141550,0.020020,-1.020,0.000053,0.000071,0.000053,0.000002,0.000591,0.000199,0.000294,0.000053,0.236328,1
276480,284672,0.137419,0.019287,-1.029,0.000169,0.000025,0.000037,0.000037,0.000169,0.000000,0.000206,0.000170,0.239258,1
278528,286720,0.140864,0.019897,-1.021,0.000194,0.000002,0.000075,0.000051,0.000194,0.000002,0.000173,0.000194,0.240234,1
280576,288768,0.143601,0.020386,-1.015,0.000005,0.000005,0.000149,0.000005,0.000214,0.000005,0.000149,0.000215,0.244141,1
282624,290816,0.144963,0.020630,-1.012,0.000053,0.000007,0.000138,0.000069,0.000069,0.000006,0.000055,0.000223,0.245117,1
284672,292864,0.146997,0.020996,-1.008,0.000122,0.000004,0.000231,0.000004,0.000010,0.000241,0.000368,0.000242,0.248047,1
286720,294912,0.143601,0.020386,-1.015,0.000418,0.000060,0.000060,0.000005,0.000005,0.000062,0.000589,0.000062,0.246094,1
288768,296960,0.146320,0.020874,-1.009,0.000127,0.000047,0.000047,0.000075,0.000005,0.000074,0.000547,0.000008,0.248047,1
290816,299008,0.144963,0.020630,-1.012,0.000007,0.000053,0.000007,0.000069,0.000007,0.000225,0.000754,0.000053,0.239258,1
292864,301056,0.146320,0.020874,-1.009,0.000047,0.000378,0.000075,0.000075,0.000047,0.000075,0.000377,0.000127,0.241211,1
294912,303104,0.150368,0.021606,-1.000,0.000001,0.000200,0.000017,0.000032,0.000100,0.000267,0.000031,0.000031,0.252930,1
296960,305152,0.145642,0.020752,-1.011,0.000006,0.000246,0.000008,0.000050,0.000050,0.000008,0.000006,0.000005,0.252930,1
299008,307200,0.154379,0.022339,-0.992,0.000072,0.000072,0.000017,0.000072,0.000158,0.000072,0.000017,0.000000,0.260742,1
301056,309248,0.155044,0.022461,-0.990,0.000000,0.000000,0.000016,0.000016,0.000016,0.000068,0.000016,0.000000,0.265625,1
303104,311296,0.152378,0.021973,-0.996,0.000000,0.000023,0.000023,0.000108,0.000025,0.000180,0.000024,0.000000,0.260742,1
305152,313344,0.146997,0.020996,-1.008,0.000044,0.000078,0.000044,0.000079,0.000044,0.000122,0.000004,0.000122,0.245117,1
307200,315392,0.133247,0.018555,-1.038,0.000001,0.000024,0.000040,0.000024,0.000024,0.000001,0.000142,0.000041,0.220703,1
309248,317440,0.135338,0.018921,-1.033,0.000032,0.000527,0.000111,0.000031,0.000156,0.000111,0.000156,0.000032,0.230469,1
311296,319488,0.136726,0.019165,-1.030,0.000000,0.000541,0.000000,0.000000,0.000165,0.000101,0.000027,0.000027,0.226562,1
