start_bit,end_bit,entropy_bits_per_bit,p1,entropy_zscore,mi_lag1,mi_lag2,mi_lag3,mi_lag4,mi_lag5,mi_lag6,mi_lag7,mi_lag8,compression_ratio,flagged
407552,415744,0.999950,0.495850,0.852,0.000005,0.000098,0.000000,0.000073,0.000088,0.000036,0.000001,0.000016,1.010742,0
409600,417792,0.999997,0.499023,0.852,0.000006,0.000029,0.000001,0.000056,0.000024,0.000021,0.000016,0.000256,1.010742,0
411648,419840,0.999913,0.494507,0.852,0.000017,0.000013,0.000025,0.000128,0.000000,0.000000,0.000017,0.000078,1.010742,0
413696,421888,0.999935,0.495239,0.852,0.000036,0.000013,0.000000,0.000451,0.000001,0.000114,0.000005,0.000048,1.010742,0
415744,423936,0.999997,0.498901,0.852,0.000239,0.000003,0.000007,0.000140,0.000003,0.000076,0.000004,0.000012,1.010742,0
417792,425984,0.999999,0.499512,0.852,0.000123,0.000000,0.000002,0.000112,0.000030,0.000000,0.000008,0.000001,1.010742,0
419840,428032,0.999845,0.507324,0.852,0.000060,0.000003,0.000089,0.000000,0.000043,0.000006,0.000042,0.000141,1.010742,0
421888,430080,0.999935,0.504761,0.852,0.000004,0.000006,0.000025,0.000000,0.000001,0.000040,0.000087,0.000102,1.010742,0
423936,432128,0.999997,0.501099,0.852,0.000000,0.000000,0.000020,0.000047,0.000001,0.000004,0.000067,0.000044,1.010742,0
425984,434176,0.999973,0.503052,0.852,0.000000,0.000005,0.000064,0.000122,0.000001,0.000009,0.000045,0.000170,1.010742,0
428032,436224,0.999973,0.496948,0.852,0.000003,0.000021,0.000012,0.000053,0.000035,0.000117,0.000118,0.000047,1.010742,0
430080,438272,0.999977,0.502808,0.852,0.000005,0.000042,0.000013,0.000010,0.000054,0.000034,0.000054,0.000044,1.010742,0
432128,440320,0.999971,0.503174,0.852,0.000028,0.000126,0.000000,0.000017,0.000109,0.000019,0.000000,0.000130,1.010742,0
434176,442368,0.999984,0.502319,0.852,0.000060,0.000311,0.000000,0.000052,0.000040,0.000050,0.000361,0.000023,1.010742,0
436224,444416,0.999953,0.504028,0.852,0.000004,0.000092,0.000002,0.000003,0.000053,0.000175,0.000387,0.000039,1.010742,0
438272,446464,0.999988,0.497925,0.852,0.000013,0.000349,0.000010,0.000112,0.000114,0.000099,0.000280,0.000000,1.010742,0
440320,448512,0.999973,0.496948,0.852,0.000191,0.000327,0.000032,0.000049,0.000009,0.000015,0.000338,0.000001,1.010742,0
442368,450560,0.999994,0.498535,0.852,0.000239,0.000289,0.000001,0.000041,0.000040,0.000000,0.000051,0.000011,1.010742,0
444416,452608,1.000000,0.500000,0.852,0.000114,0.000262,0.000037,0.000108,0.000003,0.000003,0.000051,0.000414,1.010742,0
446464,454656,0.999964,0.496460,0.852,0.000013,0.000001,0.000023,0.000001,0.000153,0.000014,0.000033,0.000261,1.010742,0
448512,456704,0.999897,0.494019,0.852,0.000014,0.000024,0.000039,0.000005,0.000025,0.000009,0.000010,0.000173,1.010742,0
450560,458752,0.999971,0.496826,0.852,0.000013,0.000006,0.000010,0.000006,0.000008,0.000000,0.000000,0.000125,1.010742,0
